,ID,Parish,Ward,Precinct,Boulet,Guillory,Swift,Total,Winner_num,Winner_name
80,Lafayette Mayor-President,28,00,82,116,123,113,352,3,Josh Guillory
81,Lafayette Mayor-President,28,00,83,0,0,0,0,0,Not yet reporting
82,Lafayette Mayor-President,28,00,84,99,192,130,421,3,Josh Guillory
83,Lafayette Mayor-President,28,00,85,0,0,0,0,0,Not yet reporting
84,Lafayette Mayor-President,28,00,86,93,234,127,454,3,Josh Guillory
85,Lafayette Mayor-President,28,00,87,119,216,126,461,3,Josh Guillory
86,Lafayette Mayor-President,28,00,88,60,137,93,290,3,Josh Guillory
87,Lafayette Mayor-President,28,00,89,36,94,77,207,3,Josh Guillory
88,Lafayette Mayor-President,28,00,90,59,69,101,229,2,Jan Swift
89,Lafayette Mayor-President,28,00,91,0,0,0,0,0,Not yet reporting
90,Lafayette Mayor-President,28,00,92,0,0,0,0,0,Not yet reporting
91,Lafayette Mayor-President,28,00,93,0,0,0,0,0,Not yet reporting
92,Lafayette Mayor-President,28,00,94,0,0,0,0,0,Not yet reporting
93,Lafayette Mayor-President,28,00,95,0,0,0,0,0,Not yet reporting
94,Lafayette Mayor-President,28,00,96,0,0,0,0,0,Not yet reporting
95,Lafayette Mayor-President,28,00,97,25,50,19,94,3,Josh Guillory
96,Lafayette Mayor-President,28,00,98,0,0,0,0,0,Not yet reporting
97,Lafayette Mayor-President,28,00,99,0,0,0,0,0,Not yet reporting
98,Lafayette Mayor-President,28,00,100,0,0,0,0,0,Not yet reporting
99,Lafayette Mayor-President,28,00,101,0,0,0,0,0,Not yet reporting
100,Lafayette Mayor-President,28,00,102,0,0,0,0,0,Not yet reporting
101,Lafayette Mayor-President,28,00,103,64,120,58,242,3,Josh Guillory
102,Lafayette Mayor-President,28,00,104,0,0,0,0,0,Not yet reporting
103,Lafayette Mayor-President,28,00,105,0,0,0,0,0,Not yet reporting
104,Lafayette Mayor-President,28,00,106,0,0,0,0,0,Not yet reporting
105,Lafayette Mayor-President,28,00,107,0,0,0,0,0,Not yet reporting
106,Lafayette Mayor-President,28,00,108,133,305,167,605,3,Josh Guillory
107,Lafayette Mayor-President,28,00,109,0,0,0,0,0,Not yet reporting
108,Lafayette Mayor-President,28,00,110,109,202,106,417,3,Josh Guillory
109,Lafayette Mayor-President,28,00,111,0,0,0,0,0,Not yet reporting
110,Lafayette Mayor-President,28,00,112,0,0,0,0,0,Not yet reporting
111,Lafayette Mayor-President,28,00,113,0,0,0,0,0,Not yet reporting
112,Lafayette Mayor-President,28,00,114,0,0,0,0,0,Not yet reporting
113,Lafayette Mayor-President,28,00,115,0,0,0,0,0,Not yet reporting
114,Lafayette Mayor-President,28,00,116,0,0,0,0,0,Not yet reporting
115,Lafayette Mayor-President,28,00,117,0,0,0,0,0,Not yet reporting
116,Lafayette Mayor-President,28,00,118,0,0,0,0,0,Not yet reporting
117,Lafayette Mayor-President,28,00,119,0,0,0,0,0,Not yet reporting
118,Lafayette Mayor-President,28,00,120,0,0,0,0,0,Not yet reporting
119,Lafayette Mayor-President,28,00,121,70,153,90,313,3,Josh Guillory
120,Lafayette Mayor-President,28,00,122,68,174,92,334,3,Josh Guillory
121,Lafayette Mayor-President,28,00,123,0,0,0,0,0,Not yet reporting
122,Lafayette Mayor-President,28,00,124,121,207,104,432,3,Josh Guillory
123,Lafayette Mayor-President,28,00,125,0,0,0,0,0,Not yet reporting
124,Lafayette Mayor-President,28,00,126,0,0,0,0,0,Not yet reporting
125,Lafayette Mayor-President,28,00,127,0,0,0,0,0,Not yet reporting
126,Lafayette Mayor-President,28,00,128,98,153,79,330,3,Josh Guillory
127,Lafayette Mayor-President,28,00,129,14,58,19,91,3,Josh Guillory
128,Lafayette Mayor-President,28,00,130,0,0,0,0,0,Not yet reporting
129,Lafayette Mayor-President,28,00,131,0,0,0,0,0,Not yet reporting
130,Lafayette Mayor-President,28,00,133,45,125,48,218,3,Josh Guillory
131,Lafayette Mayor-President,28,00,134,0,0,0,0,0,Not yet reporting
132,Lafayette Mayor-President,28,00,135,0,0,0,0,0,Not yet reporting
133,Lafayette Mayor-President,28,00,136,0,0,0,0,0,Not yet reporting
