,ID,Parish,Ward,Precinct,Boulet,Guillory,Swift,Total,Winner_num,Winner_name
90,Lafayette Mayor-President,28,00,92,0,0,0,0,0,Results pending
91,Lafayette Mayor-President,28,00,93,0,0,0,0,0,Results pending
92,Lafayette Mayor-President,28,00,94,0,0,0,0,0,Results pending
93,Lafayette Mayor-President,28,00,95,0,0,0,0,0,Results pending
94,Lafayette Mayor-President,28,00,96,0,0,0,0,0,Results pending
95,Lafayette Mayor-President,28,00,97,0,0,0,0,0,Results pending
96,Lafayette Mayor-President,28,00,98,0,0,0,0,0,Results pending
97,Lafayette Mayor-President,28,00,99,0,0,0,0,0,Results pending
98,Lafayette Mayor-President,28,00,100,0,0,0,0,0,Results pending
99,Lafayette Mayor-President,28,00,101,0,0,0,0,0,Results pending
100,Lafayette Mayor-President,28,00,102,0,0,0,0,0,Results pending
101,Lafayette Mayor-President,28,00,103,0,0,0,0,0,Results pending
102,Lafayette Mayor-President,28,00,104,0,0,0,0,0,Results pending
103,Lafayette Mayor-President,28,00,105,0,0,0,0,0,Results pending
104,Lafayette Mayor-President,28,00,106,0,0,0,0,0,Results pending
105,Lafayette Mayor-President,28,00,107,0,0,0,0,0,Results pending
106,Lafayette Mayor-President,28,00,108,0,0,0,0,0,Results pending
107,Lafayette Mayor-President,28,00,109,0,0,0,0,0,Results pending
108,Lafayette Mayor-President,28,00,110,0,0,0,0,0,Results pending
109,Lafayette Mayor-President,28,00,111,0,0,0,0,0,Results pending
110,Lafayette Mayor-President,28,00,112,0,0,0,0,0,Results pending
111,Lafayette Mayor-President,28,00,113,0,0,0,0,0,Results pending
112,Lafayette Mayor-President,28,00,114,0,0,0,0,0,Results pending
113,Lafayette Mayor-President,28,00,115,0,0,0,0,0,Results pending
114,Lafayette Mayor-President,28,00,116,0,0,0,0,0,Results pending
115,Lafayette Mayor-President,28,00,117,0,0,0,0,0,Results pending
116,Lafayette Mayor-President,28,00,118,0,0,0,0,0,Results pending
117,Lafayette Mayor-President,28,00,119,0,0,0,0,0,Results pending
118,Lafayette Mayor-President,28,00,120,0,0,0,0,0,Results pending
119,Lafayette Mayor-President,28,00,121,0,0,0,0,0,Results pending
120,Lafayette Mayor-President,28,00,122,0,0,0,0,0,Results pending
121,Lafayette Mayor-President,28,00,123,0,0,0,0,0,Results pending
122,Lafayette Mayor-President,28,00,124,0,0,0,0,0,Results pending
123,Lafayette Mayor-President,28,00,125,0,0,0,0,0,Results pending
124,Lafayette Mayor-President,28,00,126,0,0,0,0,0,Results pending
125,Lafayette Mayor-President,28,00,127,0,0,0,0,0,Results pending
126,Lafayette Mayor-President,28,00,128,0,0,0,0,0,Results pending
127,Lafayette Mayor-President,28,00,129,0,0,0,0,0,Results pending
128,Lafayette Mayor-President,28,00,130,0,0,0,0,0,Results pending
129,Lafayette Mayor-President,28,00,131,0,0,0,0,0,Results pending
130,Lafayette Mayor-President,28,00,133,0,0,0,0,0,Results pending
131,Lafayette Mayor-President,28,00,134,0,0,0,0,0,Results pending
132,Lafayette Mayor-President,28,00,135,0,0,0,0,0,Results pending
133,Lafayette Mayor-President,28,00,136,0,0,0,0,0,Results pending
134,Lafayette Mayor-President,28,Early Voting,,0,0,0,0,0,Results pending
